family,arm,level,sweepId,rootSeed,cellIndex,replicateIndex,runSeed,strategy,status,terminalReason,ticksRun,referenceNodesKnown,referenceNodesGained,referenceNodesGainedFinalQuarter,referenceLibraryDepth,referenceGrimoires,referenceKnowledgeInstances,referenceLivingMages,referencePopulation,referencePopulationChange,referencePeakPopulation
species,all-six,0,integration-r2-species-v1,20260811,0,0,2723499704,passive-control,truncated,0,2400,51,50,0,36,66,2292,54,17578,17506,17578
species,all-six,0,integration-r2-species-v1,20260811,0,1,1082968169,uniform-random-legal,truncated,0,2400,63,62,0,34,240,6232,390,24773,24701,24773
species,all-six,0,integration-r2-species-v1,20260811,0,2,3737403930,permissive-breadth,ascended,2,1202,194,193,11,102,524,4972,45,1515,1443,1515
species,all-six,0,integration-r2-species-v1,20260811,0,3,2096872395,narrow-depth,stagnated,3,525,3,2,0,3,65,116,20,231,159,231
species,all-six,0,integration-r2-species-v1,20260811,0,4,456340860,denial-warden,stagnated,3,506,3,2,0,3,15,15,23,240,168,240
species,all-six,0,integration-r2-species-v1,20260811,0,5,3110776621,archivist,truncated,0,2400,51,50,0,51,586,6144,2159,11962,11890,11962
species,all-six,0,integration-r2-species-v1,20260811,0,6,1470245086,portal-rush,truncated,0,2400,58,57,0,0,188,886,15,17648,17576,17648
species,all-six,0,integration-r2-species-v1,20260811,0,7,4124680847,worship-maximizer,truncated,0,2400,51,50,0,49,72,2514,68,17611,17539,17611
species,all-six,0,integration-r2-species-v1,20260811,0,8,2484149312,idle-then-declare,truncated,0,2400,51,50,0,41,98,2246,63,17639,17567,17639
species,all-six,0,integration-r2-species-v1,20260811,0,9,843617777,permit-then-idle,ascended,2,1202,195,194,32,66,657,6601,76,1573,1501,1573
species,all-six,0,integration-r2-species-v1,20260811,0,10,3498053538,passive-control,truncated,0,2400,51,50,0,39,87,2301,65,17760,17688,17760
species,all-six,0,integration-r2-species-v1,20260811,0,11,1857522003,uniform-random-legal,truncated,0,2400,63,62,0,51,376,6208,436,23303,23231,23303
species,all-six,0,integration-r2-species-v1,20260811,0,12,216990468,permissive-breadth,ascended,2,1682,208,207,22,76,211,4808,47,9269,9197,9269
species,all-six,0,integration-r2-species-v1,20260811,0,13,2871426229,narrow-depth,stagnated,3,526,4,3,0,4,75,130,18,265,193,265
species,all-six,0,integration-r2-species-v1,20260811,0,14,1230894694,denial-warden,stagnated,3,504,2,1,-1,2,5,5,19,244,172,244
species,all-six,0,integration-r2-species-v1,20260811,0,15,3885330455,archivist,truncated,0,2400,51,50,0,1,1,6144,2650,14665,14593,14665
species,all-six,0,integration-r2-species-v1,20260811,0,16,2244798920,portal-rush,truncated,0,2400,44,43,-9,20,284,660,16,17796,17724,17796
species,all-six,0,integration-r2-species-v1,20260811,0,17,604267385,worship-maximizer,truncated,0,2400,51,50,0,34,98,2549,60,17515,17443,17515
species,all-six,0,integration-r2-species-v1,20260811,0,18,3258703146,idle-then-declare,truncated,0,2400,51,50,0,49,77,2531,67,18444,18372,18444
species,all-six,0,integration-r2-species-v1,20260811,0,19,1618171611,permit-then-idle,ascended,2,962,194,193,32,56,743,5298,58,987,915,987
species,all-six,0,integration-r2-species-v1,20260811,0,20,4272607372,passive-control,truncated,0,2400,51,50,0,31,113,2748,72,18231,18159,18231
species,all-six,0,integration-r2-species-v1,20260811,0,21,2632075837,uniform-random-legal,truncated,0,2400,63,62,0,51,752,6209,233,21870,21798,21870
species,all-six,0,integration-r2-species-v1,20260811,0,22,991544302,permissive-breadth,ascended,2,1202,213,212,33,81,484,4677,31,3163,3091,3163
species,all-six,0,integration-r2-species-v1,20260811,0,23,3645980063,narrow-depth,stagnated,3,524,6,5,0,6,62,121,18,304,232,304
species,all-six,0,integration-r2-species-v1,20260811,0,24,2005448528,denial-warden,stagnated,3,506,2,1,0,2,54,54,15,182,110,182
species,all-six,0,integration-r2-species-v1,20260811,0,25,364916993,archivist,truncated,0,2400,51,50,0,48,366,6144,2566,10583,10511,10583
species,all-six,0,integration-r2-species-v1,20260811,0,26,3019352754,portal-rush,truncated,0,2400,61,60,9,0,148,950,20,17762,17690,17762
species,all-six,0,integration-r2-species-v1,20260811,0,27,1378821219,worship-maximizer,truncated,0,2400,51,50,0,17,82,2178,58,17627,17555,17627
species,all-six,0,integration-r2-species-v1,20260811,0,28,4033256980,idle-then-declare,truncated,0,2400,51,50,0,27,51,2244,59,17886,17814,17886
species,all-six,0,integration-r2-species-v1,20260811,0,29,2392725445,permit-then-idle,ascended,2,962,195,194,29,51,234,4051,51,1245,1173,1245
species,all-six,0,integration-r2-species-v1,20260811,0,30,752193910,passive-control,truncated,0,2400,51,50,0,49,100,2724,73,17887,17815,17887
species,all-six,0,integration-r2-species-v1,20260811,0,31,3406629671,uniform-random-legal,truncated,0,2400,62,61,0,36,315,6240,392,24136,24064,24136
species,all-six,0,integration-r2-species-v1,20260811,0,32,1766098136,permissive-breadth,ascended,2,1202,213,212,33,61,821,4565,52,2303,2231,2303
species,all-six,0,integration-r2-species-v1,20260811,0,33,125566601,narrow-depth,stagnated,3,525,6,5,0,6,72,107,16,257,185,257
species,all-six,0,integration-r2-species-v1,20260811,0,34,2780002362,denial-warden,stagnated,3,505,3,2,0,3,21,21,24,262,190,262
species,all-six,0,integration-r2-species-v1,20260811,0,35,1139470827,archivist,truncated,0,2400,51,50,0,39,357,6144,2718,16253,16181,16253
species,all-six,0,integration-r2-species-v1,20260811,0,36,3793906588,portal-rush,truncated,0,2400,58,57,1,30,333,973,19,17423,17351,17423
species,all-six,0,integration-r2-species-v1,20260811,0,37,2153375053,worship-maximizer,truncated,0,2400,51,50,0,40,122,2450,60,17639,17567,17639
species,all-six,0,integration-r2-species-v1,20260811,0,38,512843518,idle-then-declare,truncated,0,2400,51,50,0,45,52,2931,71,17923,17851,17923
species,all-six,0,integration-r2-species-v1,20260811,0,39,3167279279,permit-then-idle,ascended,2,1202,216,215,38,134,879,5799,48,2488,2416,2488
species,all-six,0,integration-r2-species-v1,20260811,0,40,1526747744,passive-control,truncated,0,2400,51,50,0,40,49,2917,74,18319,18247,18319
species,all-six,0,integration-r2-species-v1,20260811,0,41,4181183505,uniform-random-legal,truncated,0,2400,63,62,0,40,245,6224,323,23211,23139,23211
species,all-six,0,integration-r2-species-v1,20260811,0,42,2540651970,permissive-breadth,ascended,1,1668,216,215,4,81,390,6321,47,11266,11194,11266
species,all-six,0,integration-r2-species-v1,20260811,0,43,900120435,narrow-depth,stagnated,3,526,6,5,0,6,48,96,16,293,221,293
species,all-six,0,integration-r2-species-v1,20260811,0,44,3554556196,denial-warden,stagnated,3,504,2,1,0,2,15,15,21,222,150,222
species,all-six,0,integration-r2-species-v1,20260811,0,45,1914024661,archivist,truncated,0,2400,51,50,0,51,484,6144,2395,14756,14684,14756
species,all-six,0,integration-r2-species-v1,20260811,0,46,273493126,portal-rush,truncated,0,2400,48,47,-11,18,338,566,7,17502,17430,17502
species,all-six,0,integration-r2-species-v1,20260811,0,47,2927928887,worship-maximizer,truncated,0,2400,51,50,0,27,80,2480,63,17668,17596,17668
species,all-six,0,integration-r2-species-v1,20260811,0,48,1287397352,idle-then-declare,truncated,0,2400,51,50,0,51,113,2644,69,17720,17648,17720
species,all-six,0,integration-r2-species-v1,20260811,0,49,3941833113,permit-then-idle,ascended,2,1202,213,212,37,130,316,5205,42,2805,2733,2805
species,all-six,0,integration-r2-species-v1,20260811,0,50,2301301578,passive-control,truncated,0,2400,51,50,0,17,59,2335,62,17904,17832,17904
species,all-six,0,integration-r2-species-v1,20260811,0,51,660770043,uniform-random-legal,truncated,0,2400,63,62,0,38,261,6212,288,24495,24423,24495
species,all-six,0,integration-r2-species-v1,20260811,0,52,3315205804,permissive-breadth,ascended,2,1202,209,208,22,118,461,5896,58,2614,2542,2614
species,all-six,0,integration-r2-species-v1,20260811,0,53,1674674269,narrow-depth,stagnated,3,525,6,5,0,6,73,129,19,334,262,334
species,all-six,0,integration-r2-species-v1,20260811,0,54,34142734,denial-warden,truncated,0,2400,0,-1,-1,0,0,0,59,17298,17226,17298
species,all-six,0,integration-r2-species-v1,20260811,0,55,2688578495,archivist,truncated,0,2400,51,50,0,46,482,6144,2216,12026,11954,12026
species,all-six,0,integration-r2-species-v1,20260811,0,56,1048046960,portal-rush,truncated,0,2400,53,52,0,17,359,1024,21,17944,17872,17944
species,all-six,0,integration-r2-species-v1,20260811,0,57,3702482721,worship-maximizer,truncated,0,2400,51,50,0,15,29,2778,71,18260,18188,18260
species,all-six,0,integration-r2-species-v1,20260811,0,58,2061951186,idle-then-declare,truncated,0,2400,51,50,0,23,55,2671,65,17959,17887,17959
